Sl. No,Food Item,Recipe,Approximate Calorie per Serving
1017,Pui Shak Paturi (Chattogram),"To prepare Chattogram-style Pui Shak Paturi, take 300 grams of fresh pui shak (pointed gourd leaves or equivalent leafy greens), wash and pat dry. Make a mustard paste by soaking 2 tablespoons mustard seeds in warm water for 10 minutes and grinding with 1–2 green chilies. Mix the mustard paste with 2 tablespoons mustard oil, 1 teaspoon turmeric, and salt to taste. Spread the paste evenly on the leaves, roll or fold them securely, and wrap in banana leaves. Steam or grill the parcels over low heat for 15–20 minutes until the greens are tender and infused with the mustard flavors. Serve hot with plain rice as a traditional Chattogram-style meal.",180
1018,Pui Shak Paturi (Dhaka),"To prepare Dhaka-style Pui Shak Paturi, wash and chop 300 grams of fresh Malabar spinach (pui shak) and mix it with 2 tablespoons of mustard paste, 1 tablespoon of poppy seed paste, 1 teaspoon turmeric, 1 teaspoon chili powder, 2–3 slit green chilies, 1 teaspoon salt, and 2 tablespoons of mustard oil. Wrap the mixture in banana leaves, folding them neatly and securing with thread or toothpicks, then place the parcels on a hot tawa or griddle and cook over low heat for 15–20 minutes, turning occasionally until the leaves are charred outside and the contents inside are soft, aromatic, and mustard-flavored. Serve hot with plain rice.",180
1019,Pui Shak Paturi (Hill Tracts),"To prepare Pui Shak Paturi (Hill Tracts), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 50 grams of grated coconut, 1–2 chopped green chilies, ½ teaspoon turmeric powder, a pinch of salt, and 1 teaspoon sesame oil. Take one leaf at a time, place a spoonful of the stuffing in the center, and fold or roll the leaf to form a parcel. Lightly grease a steaming tray with sesame oil, place the parcels on it, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Hill Tracts-style Pui Shak Paturi.",120
1020,Pui Shak Paturi (Mymensingh),"To prepare Pui Shak Paturi (Mymensingh), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 50 grams of grated coconut, 1–2 chopped green chilies, ½ teaspoon turmeric powder, a pinch of salt, and 1 teaspoon ghee or mustard oil. Take one leaf at a time, place a spoonful of the stuffing in the center, and fold or roll the leaf to form a parcel. Lightly grease a steaming tray with ghee, place the parcels on it, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Mymensingh-style Pui Shak Paturi.",120
1021,Pui Shak Paturi (Rajshahi),"To prepare Pui Shak Paturi (Rajshahi), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 50 grams of grated coconut, 1–2 chopped green chilies, ½ teaspoon turmeric powder, a pinch of salt, and 1 teaspoon mustard oil or ghee. Take one leaf at a time, place a spoonful of the stuffing in the center, and fold or roll the leaf to form a parcel. Lightly grease a steaming tray with mustard oil or ghee, place the parcels on it, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Rajshahi-style Pui Shak Paturi.",120
1022,Pui Shak Polao (Barisal),"To prepare Pui Shak Polao (Barisal), start by washing 1 cup of rice thoroughly and soaking it for 20 minutes. Drain the rice. Heat 2–3 tablespoons of mustard oil or ghee in a heavy-bottomed pan, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Add the drained rice and stir gently to coat with the oil and spices. Chop 300–400 grams of pui shak (Malabar spinach) and lightly sauté it separately with a pinch of salt and ½ teaspoon turmeric powder. Mix the sautéed pui shak into the rice, add 2 cups of water and salt to taste, and bring to a gentle boil. Reduce the heat, cover, and cook until the rice is fully done and fluffy. Optionally, finish with a drizzle of ghee before serving hot as a traditional Barisal-style Pui Shak Polao.",280
1023,Pui Shak Polao (Dhaka),"To prepare Pui Shak Polao (Dhaka), start by washing 1 cup of rice thoroughly and soaking it for 20 minutes. Drain the rice. Heat 2–3 tablespoons of ghee or mustard oil in a heavy-bottomed pan, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Chop 300–400 grams of pui shak (Malabar spinach) and lightly sauté it separately with a pinch of salt and ½ teaspoon turmeric powder. Add the drained rice to the pan, stir gently to coat with the oil and spices, then mix in the sautéed pui shak. Add 2 cups of water and salt to taste, bring to a gentle boil, then reduce the heat, cover, and cook until the rice is fully done and fluffy. Finish with a drizzle of ghee before serving hot as a traditional Dhaka-style Pui Shak Polao.",280
1024,Pui Shak Polao (Mymensingh),"To prepare Pui Shak Polao (Mymensingh), start by washing 1 cup of rice thoroughly and soaking it for 20 minutes. Drain the rice. Heat 2–3 tablespoons of ghee or mustard oil in a heavy-bottomed pan, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Chop 300–400 grams of pui shak (Malabar spinach) and lightly sauté it separately with a pinch of salt and ½ teaspoon turmeric powder. Add the drained rice to the pan, stir gently to coat with the oil and spices, then mix in the sautéed pui shak. Add 2 cups of water and salt to taste, bring to a gentle boil, then reduce the heat, cover, and cook until the rice is fully done and fluffy. Finish with a drizzle of ghee before serving hot as a traditional Mymensingh-style Pui Shak Polao.",280
1025,Pui Shak Polao (Rajshahi),"To prepare Pui Shak Polao (Rajshahi), start by washing 1 cup of rice thoroughly and soaking it for 20 minutes. Drain the rice. Heat 2–3 tablespoons of mustard oil or ghee in a heavy-bottomed pan, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Chop 300–400 grams of pui shak (Malabar spinach) and lightly sauté it separately with a pinch of salt and ½ teaspoon turmeric powder. Add the drained rice to the pan, stir gently to coat with the oil and spices, then mix in the sautéed pui shak. Add 2 cups of water and salt to taste, bring to a gentle boil, then reduce the heat, cover, and cook until the rice is fully done and fluffy. Finish with a drizzle of ghee before serving hot as a traditional Rajshahi-style Pui Shak Polao.",280
1026,Pui Shak Polao (Sylhet),"To prepare Pui Shak Polao (Sylhet), start by washing 1 cup of rice thoroughly and soaking it for 20 minutes. Drain the rice. Heat 2–3 tablespoons of mustard oil or ghee in a heavy-bottomed pan, add 1 teaspoon cumin seeds, 2–3 slit green chilies, and 1 teaspoon ginger paste, sautéing until aromatic. Chop 300–400 grams of pui shak (Malabar spinach) and lightly sauté it separately with a pinch of salt and ½ teaspoon turmeric powder. Add the drained rice to the pan, stir gently to coat with the oil and spices, then mix in the sautéed pui shak. Add 2 cups of water and salt to taste, bring to a gentle boil, then reduce the heat, cover, and cook until the rice is fully done and fluffy. Finish with a drizzle of ghee before serving hot as a traditional Sylhet-style Pui Shak Polao.",280
1027,Pui Shak Steamed (Barisal),"To prepare Pui Shak Steamed (Barisal), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. In a bowl, mix the chopped leaves with 1 teaspoon mustard seeds, 1–2 slit green chilies, a pinch of salt, and 1 teaspoon mustard oil. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still bright green. Optionally, drizzle a little mustard oil on top before serving. Serve hot as a light and aromatic Barisal-style Pui Shak Steamed dish.",75
1028,Pui Shak Steamed (Dhaka),"To prepare Pui Shak Steamed (Dhaka), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. In a bowl, mix the chopped leaves with 1 teaspoon mustard seeds, 1–2 slit green chilies, a pinch of salt, and 1 teaspoon mustard oil or ghee. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still bright green. Optionally, drizzle a little mustard oil or ghee on top before serving. Serve hot as a fragrant Dhaka-style Pui Shak Steamed dish.",75
1029,Pui Shak Steamed (Hill Tracts),"To prepare Pui Shak Steamed (Hill Tracts), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. In a bowl, mix the chopped leaves with 1 teaspoon sesame oil, 1–2 chopped green chilies, and a pinch of salt, ensuring the leaves are evenly coated. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still vibrant green. Optionally, drizzle a little sesame oil on top before serving. Serve hot as a flavorful Hill Tracts-style Pui Shak Steamed dish.",75
1030,Pui Shak Steamed (Mymensingh),"To prepare Pui Shak Steamed (Mymensingh), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. In a bowl, mix the chopped leaves with 1 teaspoon mustard oil or ghee, 1–2 slit green chilies, and a pinch of salt, ensuring the leaves are evenly coated. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still bright green. Optionally, drizzle a little mustard oil or ghee on top before serving. Serve hot as a traditional Mymensingh-style Pui Shak Steamed dish.",75
1031,Pui Shak Steamed (Rangpur),"To prepare Rangpur-style Pui Shak Steamed, wash and roughly chop 300 grams of fresh pui shak (Malabar spinach), then mix it with 2 tablespoons mustard oil, 1 teaspoon turmeric, 1 teaspoon chili powder, ½ teaspoon roasted mustard seed paste, 2 minced garlic cloves, 2 slit green chilies, and salt to taste, coating well. Wrap the mixture tightly in a banana leaf parcel and secure with thread, then place it in a steamer or on a hot tawa with a heavy lid on low heat for 15–20 minutes until the shak becomes soft, aromatic, and infused with mustard flavor. Serve hot with plain rice as a light and healthy side dish.",150
1032,Pui Shak Steamed (Sylhet),"To prepare Pui Shak Steamed (Sylhet), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. In a mixing bowl, combine the chopped leaves with 1 teaspoon mustard seeds, 1 teaspoon minced garlic, 1–2 slit green chilies, a pinch of salt, and 1 teaspoon mustard oil. Mix well to coat the leaves with the seasoning. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still vibrant green. Optionally, drizzle a little mustard oil on top before serving. Serve hot as a light, aromatic Sylhet-style Pui Shak Steamed dish.",75
1033,Pui Shak Steamed (Tribal),"To prepare Pui Shak Steamed (Tribal), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing any tough stems. Roughly chop the leaves. In a bowl, mix the chopped leaves with 1 teaspoon sesame oil, 1 teaspoon minced garlic, 1–2 chopped green chilies, and a pinch of salt, ensuring the leaves are evenly coated. Transfer the mixture to a heatproof bowl or small steaming dish, cover, and steam over medium heat for 7–10 minutes until the leaves are tender but still bright green. Optionally, drizzle a little sesame oil on top before serving. Serve hot as a fragrant Tribal-style Pui Shak Steamed dish.",75
1034,Pui Shak Stuffed (Barisal),"To prepare Pui Shak Stuffed (Barisal), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 100 grams of grated coconut, 2 tablespoons of roasted peanuts or khoya, 1 teaspoon chopped green chilies, ½ teaspoon turmeric powder, and a pinch of salt. Take one leaf at a time, place a spoonful of the stuffing in the center, and carefully roll or fold the leaf to enclose the filling. Lightly grease a steaming tray with mustard oil or ghee, arrange the stuffed leaves, cover, and steam for 8–10 minutes until cooked and fragrant. Serve hot as a traditional Barisal-style Pui Shak Stuffed dish.",140
1035,Pui Shak Stuffed (Chattogram),"To prepare Pui Shak Stuffed (Chattogram), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 100 grams of grated coconut, 2 tablespoons of roasted peanuts or khoya, 1 teaspoon chopped green chilies, ½ teaspoon turmeric powder, and a pinch of salt. Take one leaf at a time, place a spoonful of the stuffing in the center, and carefully roll or fold the leaf to enclose the filling. Lightly grease a steaming tray with mustard oil or ghee, arrange the stuffed leaves, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Chattogram-style Pui Shak Stuffed dish.",140
1036,Pui Shak Stuffed (Dhaka),"To prepare Pui Shak Stuffed (Dhaka), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 100 grams of grated coconut, 2 tablespoons of roasted peanuts or khoya, 1 teaspoon chopped green chilies, ½ teaspoon turmeric powder, and a pinch of salt. Take one leaf at a time, place a spoonful of the stuffing in the center, and carefully roll or fold the leaf to enclose the filling. Lightly grease a steaming tray with mustard oil or ghee, arrange the stuffed leaves, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Dhaka-style Pui Shak Stuffed dish.",140
1037,Pui Shak Stuffed (Hill Tracts),"To prepare Pui Shak Stuffed (Hill Tracts), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 100 grams of grated coconut, 2 tablespoons of roasted peanuts or local nuts, 1 teaspoon chopped green chilies, ½ teaspoon turmeric powder, and a pinch of salt. Take one leaf at a time, place a spoonful of the stuffing in the center, and carefully roll or fold the leaf to enclose the filling. Lightly grease a steaming tray with sesame oil or ghee, arrange the stuffed leaves, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Hill Tracts-style Pui Shak Stuffed dish.",140
1038,Pui Shak Stuffed (Tribal),"To prepare Pui Shak Stuffed (Tribal), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Blanch the leaves in lightly salted boiling water for 1–2 minutes, then drain and pat dry. Prepare a stuffing by mixing 100 grams of grated coconut, 2 tablespoons of roasted peanuts or locally available nuts, 1 teaspoon chopped green chilies, ½ teaspoon turmeric powder, and a pinch of salt. Take one leaf at a time, place a spoonful of the stuffing in the center, and carefully roll or fold the leaf to enclose the filling. Lightly grease a steaming tray with sesame oil, arrange the stuffed leaves, cover, and steam for 8–10 minutes until cooked and aromatic. Serve hot as a traditional Tribal-style Pui Shak Stuffed dish.",140
1039,Pui Shak Tok (Chattogram),"To prepare Pui Shak Tok (Chattogram), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. Heat 2–3 tablespoons of mustard oil in a pan, add 1 teaspoon of mustard seeds and 1–2 slit green chilies, and sauté briefly until fragrant. Add the chopped pui shak, ½ teaspoon turmeric powder, ½ teaspoon red chili powder, and a pinch of salt, stirring well. Cook on medium heat for 5–7 minutes until the leaves are tender but still bright green. Dissolve 1–2 tablespoons of jaggery (gur) in a small splash of water and pour over the cooked leaves, stirring gently to coat. Cook for another 2–3 minutes until the mixture thickens slightly. Serve hot as a flavorful Chattogram-style Pui Shak Tok.",110
1040,Pui Shak Tok (Dhaka),"To prepare Pui Shak Tok (Dhaka), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. Heat 2–3 tablespoons of mustard oil or ghee in a pan, add 1 teaspoon mustard seeds and 1–2 slit green chilies, and sauté briefly until aromatic. Add the chopped pui shak, ½ teaspoon turmeric powder, ½ teaspoon red chili powder, and a pinch of salt, stirring well. Cook on medium heat for 5–7 minutes until the leaves are tender but still bright green. Dissolve 1–2 tablespoons of jaggery (gur) in a small splash of water and pour over the cooked leaves, stirring gently to coat. Cook for another 2–3 minutes until the mixture thickens slightly. Serve hot as a traditional Dhaka-style Pui Shak Tok.",110
1041,Pui Shak Tok (Rajshahi),"To prepare Pui Shak Tok (Rajshahi), start by thoroughly washing 300–400 grams of pui shak (Malabar spinach) leaves and removing the tough stems. Chop the leaves roughly. Heat 2–3 tablespoons of mustard oil or ghee in a pan, add 1 teaspoon mustard seeds and 1–2 slit green chilies, and sauté briefly until fragrant. Add the chopped pui shak, ½ teaspoon turmeric powder, ½ teaspoon red chili powder, and a pinch of salt, stirring well. Cook on medium heat for 5–7 minutes until the leaves are tender but still vibrant green. Dissolve 1–2 tablespoons of jaggery (gur) in a small splash of water and pour over the cooked leaves, stirring gently to coat. Cook for another 2–3 minutes until the mixture thickens slightly. Serve hot as a traditional Rajshahi-style Pui Shak Tok.",110
1042,Pui Shak Tok (Tribal),"To prepare Pui Shak Tok (Tribal), begin by washing 2 cups of fresh pui shak (Malabar spinach) leaves and tender stems, then roughly chopping them. Heat 2 tablespoons of mustard oil or sesame oil in a pan, add 1 teaspoon of crushed garlic and 2–3 chopped green chilies, and sauté until aromatic. Add ½ teaspoon of turmeric powder and salt to taste, then stir in the pui shak and cook for a few minutes until it wilts. Pour in 1 cup of water and simmer gently for 5–7 minutes until the leaves become soft and release their natural slimy texture. Finish the dish by adding 1–2 tablespoons of lemon juice or fermented bamboo shoot water (traditional tribal souring agent), mixing well to create a light, tangy broth. Serve hot as a simple, earthy, and sour Tribal-style vegetable dish.",85
1043,Rosh Bhuna (Dhaka),"To prepare Rosh Bhuna (Dhaka), begin by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces. Heat 3 tablespoons of ghee or mustard oil in a heavy-bottomed pan, add 1 finely sliced onion, and sauté until deep golden brown. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant. Lower the heat and mix in ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the meat and bhuna thoroughly until the spices coat it well and oil starts to separate. Pour in 1 cup of warm milk or lightly sweetened milk, cover, and cook on low heat until the meat becomes tender and the gravy turns thick, glossy, and mildly sweet. Finish with ½ teaspoon of garam masala and a drizzle of ghee before serving hot as a rich, aromatic Dhaka-style delicacy.",385
1044,Rosh Bhuna (Hill Tracts),"To prepare Hill Tracts–style Rosh Bhuna, wash and cut 1 kilogram of beef or mutton into medium pieces, then marinate with 3 tablespoons of yogurt, 2 tablespoons of ginger paste, 1 tablespoon of garlic paste, 2 teaspoons of chili powder, 1 teaspoon turmeric, 2 teaspoons roasted cumin and coriander powder, 1 teaspoon garam masala, 2 tablespoons mustard oil, and salt to taste, leaving it for at least 1 hour. In a heavy-bottomed pan, heat ½ cup of mustard oil, add 3 sliced onions and fry until golden brown, then add the marinated meat and cook on medium heat until it releases juices and the spices thicken. Add 2 cups of warm water, cover, and cook slowly for 1.5 to 2 hours until the meat is tender and the gravy reduces to a thick, rich “rosh” clinging to the pieces. Finish with green chilies and a drizzle of raw mustard oil for aroma, then serve hot with plain rice or tribal-style chal fry.",550
1045,Rosh Bhuna (Khulna),"To prepare Khulna-style Rosh Bhuna, take 300 grams of cleaned rohu (or similar local) fish pieces and pat dry. Heat 4 tablespoons mustard oil in a pan, add 1 sliced onion, 2 minced garlic cloves, and 1-inch ginger paste, frying until golden and aromatic. Stir in 1 teaspoon turmeric, 1 teaspoon chili powder, 1 teaspoon roasted cumin-coriander powder, and salt to taste. Add the fish pieces and cook on medium heat, stirring occasionally, for 8–10 minutes until the fish is cooked through and coated with the spices. Reduce the heat, cover, and simmer for another 5 minutes until the bhuna develops a rich, thick, and aromatic texture. Serve hot with plain rice for a traditional Khulna-style meal.",350
1046,Rosh Bhuna (Mymensingh),"To prepare Rosh Bhuna, a traditional Mymensingh-style rich and flavorful beef curry, begin by taking 500 grams of beef (preferably with a little fat for extra taste) and washing it well. In a heavy-bottomed pan, heat 4–5 tablespoons of mustard oil until it smokes lightly to remove rawness, then add 2 finely sliced onions and fry until golden brown. Next, add a paste made from 2 medium onions, 6–8 garlic cloves, and 1.5-inch fresh ginger, stirring until the raw smell disappears. Mix in ground spices: 2 teaspoons red chili powder, 1 teaspoon turmeric powder, 2 teaspoons coriander powder, and salt to taste, frying the masala until oil begins to separate. Add the beef pieces and coat well with the spice mixture, frying on medium-high heat for about 10–12 minutes to develop deep flavor. Then add 1.5 cups of hot water, cover the pan, and let it simmer on low heat until the beef becomes tender and the gravy thickens into a rich, clinging sauce—this slow cooking process, known as “rosh bhuna,” enhances both taste and texture. Finally, finish with 2–3 slit green chilies and a sprinkle of garam masala, allowing it to rest for a few minutes before serving. This dish pairs beautifully with plain bhaat, khichuri, or parathas.",350
1047,Rosh Bhuna (Rajshahi),"To prepare Rosh Bhuna (Rajshahi style), begin by cleaning and cutting 300–400 g of rosh (local freshwater fish) into medium pieces and marinating them with turmeric, red chili powder, and salt for 10 minutes. Heat 3 tablespoons mustard oil in a pan, lightly fry the fish pieces until golden, then remove and set aside. In the same oil, add finely sliced onions and sauté until deep golden, followed by ginger-garlic paste, green chilies, coriander powder, and a pinch of cumin, cooking until the oil separates and the spices become aromatic. Return the fried fish to the pan, mix gently with the thick masala, and cook on low heat until the gravy reduces and coats the fish well, forming a rich, dry bhuna. Rest briefly and serve hot with plain rice.",340
1048,Rosh Bhuna (Rangpur),"To prepare Rosh Bhuna (Rangpur style), begin by cleaning and cutting 300–400 g of rosh (local freshwater fish) into medium pieces and marinating them with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt for 10 minutes. Heat 3 tablespoons mustard oil in a pan, lightly fry the fish pieces until golden, then remove and set aside. In the same oil, sauté finely sliced onions until deep golden, add 1 teaspoon ginger paste, 1–2 crushed garlic cloves, 1–2 chopped green chilies, and a pinch of cumin, cooking until aromatic. Return the fried fish to the pan, mix gently with the thick masala, and cook on low heat until the gravy reduces and coats the fish well, creating a rich, dry bhuna typical of Rangpur cuisine. Serve hot with plain rice.",340
1049,Rosh Dry (Dhaka),"To prepare Rosh Dry (Dhaka style), begin by cleaning and cutting 300–400 g of rosh (local freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 2–3 tablespoons mustard oil in a pan, lightly fry the fish pieces until just golden, then remove and set aside. In the same pan, sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves until aromatic. Return the fish to the pan, stir gently, and cook on low heat until the moisture dries up and the fish is well coated with spices, creating a dry, flavorful finish. Serve hot with plain rice.",350
1050,Rosh Dry (Hill Tracts),"To prepare Rosh Dry (Hill Tracts style), begin by cleaning and cutting 300–400 g of rosh (local freshwater fish) into medium pieces. Lightly marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 2–3 tablespoons vegetable or mustard oil in a pan, lightly fry the fish pieces until lightly crisp, then remove and set aside. In the same pan, sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves until fragrant. Return the fish to the pan and cook on low heat, stirring gently until all moisture evaporates and the fish takes on a dry, earthy, and mildly smoky flavor characteristic of Hill Tracts cooking. Serve hot with plain rice.",350
1051,Rosh Dry (Khulna),"To prepare Rosh Dry (Khulna style), begin by cleaning and cutting 300–400 g of rosh (local freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 2–3 tablespoons mustard oil in a pan, lightly fry the fish pieces until just golden, then remove and set aside. In the same pan, sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves until aromatic. Return the fish to the pan, stir gently, and cook on low heat until the gravy reduces completely and the fish becomes well coated with spices, developing a rich, dry finish typical of Khulna-style cooking. Serve hot with plain rice.",360
1052,Rosh Fry (Hill Tracts),"To prepare Rosh Fry (Hill Tracts style), begin by cleaning and cutting 300–400 g of rosh (freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 3 tablespoons mustard or vegetable oil in a pan, and fry the fish pieces on medium heat until golden brown and crisp on the outside, turning carefully to cook evenly. Remove the fish and briefly sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves in the same oil to release aromatic flavors. Return the fried fish to the pan, toss gently for a minute to coat with the aromatics, and serve hot with plain rice.",420
1053,Rosh Fry (Khulna),"To prepare Rosh Fry (Khulna style), begin by cleaning and cutting 300–400 g of rosh (freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 3 tablespoons mustard oil in a pan, and fry the fish on medium heat until golden brown and crisp on the outside, turning carefully to cook evenly. Remove the fish and briefly sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves in the same oil to release aromatic flavors. Return the fried fish to the pan, toss gently to coat with the aromatics, and serve hot with plain rice.",420
1054,Rosh Fry (Rajshahi),"To prepare Rosh Fry (Rajshahi style), begin by cleaning and cutting 300–400 g of rosh (freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 3 tablespoons mustard or vegetable oil in a pan and fry the fish on medium heat until golden brown and slightly crisp, turning carefully to cook evenly. Remove the fish and briefly sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves in the same oil to release aromatic flavors. Return the fried fish to the pan, toss gently with the aromatics, and serve hot with plain rice.",420
1055,Rosh Fry (Tribal),"To prepare Rosh Fry (Tribal style), begin by cleaning and cutting 300–400 g of rosh (freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, and salt to taste for 10–15 minutes. Heat 3 tablespoons mustard or vegetable oil in a pan and fry the fish on medium heat until golden brown and slightly crisp, turning carefully to cook evenly. Remove the fish and briefly sauté 1 small sliced onion, 1–2 chopped green chilies, 1 teaspoon ginger paste, and 1–2 crushed garlic cloves in the same oil to release aromatic flavors. Return the fried fish to the pan, toss gently to coat with the spices, and serve hot with plain rice, highlighting the earthy, rustic flavors typical of Tribal-style cooking.",420
1056,Rosh Grilled (Barisal),"To prepare Rosh Grilled (Barisal style), begin by cleaning and cutting 300–400 g of rosh (freshwater fish) into medium pieces. Marinate the fish with 1 teaspoon turmeric, 1 teaspoon red chili powder, 1 teaspoon mustard paste, 1 teaspoon ginger paste, 1–2 crushed garlic cloves, and salt to taste for 20 minutes. Preheat a grill or pan, lightly brush it with mustard oil, and place the fish pieces on it. Grill on medium heat for 8–10 minutes on each side, or until the fish is cooked through and has a lightly charred, smoky exterior. Serve hot with plain rice, letting the natural flavor of the fish shine.",380
1057,Rosh Grilled (Dhaka),"To prepare Rosh Grilled (Dhaka), begin by cleaning and cutting 500 grams of mutton or beef into medium-sized pieces and boiling them with salt until just tender, then drain and set aside. Heat 3 tablespoons of ghee or mustard oil in a pan, add 1 finely sliced onion, and sauté until golden brown. Add 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic. Reduce the heat and mix in ½ teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, ½ teaspoon of cumin powder, and salt to taste. Add the boiled meat and bhuna well until the spices coat the meat and oil begins to separate. Pour in ½–¾ cup of lightly sweetened milk and cook on low heat until the mixture becomes thick and glossy. Remove the meat pieces, brush them lightly with ghee, and grill on a hot tawa or grill pan until lightly charred and aromatic. Serve hot as a rich, mildly sweet, and smoky Dhaka-style Rosh Grilled dish.",400
